province_id,legacy_id,numeric_id,name,region_id,macroregion_id,area_km2,profile_id,target_cell_area_km2,expected_cell_count_base,override_minimum_cell_count,override_forced_cell_count,override_reason,final_cell_count_base,status
province:1713,algeria__tlemcen,1713,Tlemcen,,,9581.835,,,,,,,,UNASSIGNED_REGION
province:1616,eritrea__maekel,1616,Maekel,,,9544.648,,,,,,,,UNASSIGNED_REGION
province:3329,thailand__sakon_nakhon,3329,Sakon Nakhon,,,9537.796,,,,,,,,UNASSIGNED_REGION
province:2631,iceland__vestfir_ir,2631,Vestfirðir,,,9536.716,,,,,,,,UNASSIGNED_REGION
province:3269,yemen__dhamar,3269,Dhamar,,,9535.978,,,,,,,,UNASSIGNED_REGION
province:2126,morocco__rabat_sal_zemmour_zaer,2126,Rabat - Salé - Zemmour - Zaer,,,9535.573,,,,,,,,UNASSIGNED_REGION
province:61,costa_rica__alajuela,61,Alajuela,,,9520.734,,,,,,,,UNASSIGNED_REGION
province:607,bosnia_and_herzegovina__trebinje,607,Trebinje,,,9505.916,,,,,,,,UNASSIGNED_REGION
province:1803,uruguay__r_o_negro,1803,Río Negro,,,9492.506,,,,,,,,UNASSIGNED_REGION
province:2742,turkey__samsun,2742,Samsun,,,9468.83,,,,,,,,UNASSIGNED_REGION
province:848,nepal__bhojpur,848,Bhojpur,,,9451.511,,,,,,,,UNASSIGNED_REGION
province:630,nicaragua__jinotega,630,Jinotega,,,9437.395,,,,,,,,UNASSIGNED_REGION
province:702,slovakia__banskobystrick,702,Banskobystrický,,,9431.162,,,,,,,,UNASSIGNED_REGION
province:1804,new_caledonia__nord,1804,Nord,,,9405.013,,,,,,,,UNASSIGNED_REGION
province:1667,united_states_of_america__alaska_41,1667,Alaska,,,9399.018,,,,,,,,UNASSIGNED_REGION
province:3357,turkey__tokat,3357,Tokat,,,9397.722,,,,,,,,UNASSIGNED_REGION
province:1889,indonesia__banten,1889,Banten,,,9392.721,,,,,,,,UNASSIGNED_REGION
province:2853,france__landes,2853,Landes,,,9385.706,,,,,,,,UNASSIGNED_REGION
province:3373,sweden__kronoberg,3373,Kronoberg,,,9378.299,,,,,,,,UNASSIGNED_REGION
province:1219,costa_rica__lim_n,1219,Limón,,,9366.981,,,,,,,,UNASSIGNED_REGION
province:1732,uruguay__rivera,1732,Rivera,,,9346.981,,,,,,,,UNASSIGNED_REGION
province:347,liberia__lofa,347,Lofa,,,9331.138,,,,,,,,UNASSIGNED_REGION
province:3636,algeria__sa_da,3636,Saïda,,,9324.646,,,,,,,,UNASSIGNED_REGION
province:3562,ecuador__pichincha,3562,Pichincha,,,9312.029,,,,,,,,UNASSIGNED_REGION
province:56,north_korea__hwanghae_bukto,56,Hwanghae-bukto,,,9302.558,,,,,,,,UNASSIGNED_REGION
province:191,cambodia__k_mp_ng_cham,191,Kâmpóng Cham,,,9290.778,,,,,,,,UNASSIGNED_REGION
province:3979,france__dordogne,3979,Dordogne,,,9275.991,,,,,,,,UNASSIGNED_REGION
province:3733,turkey__elazig,3733,Elazig,,,9259.51,,,,,,,,UNASSIGNED_REGION
province:3901,burkina_faso__sanmatenga,3901,Sanmatenga,,,9252.181,,,,,,,,UNASSIGNED_REGION
province:2370,japan__yamagata,2370,Yamagata,,,9239.347,,,,,,,,UNASSIGNED_REGION
province:3746,nigeria__osun,3746,Osun,,,9222.354,,,,,,,,UNASSIGNED_REGION
province:317,poland__opole,317,Opole,,,9217.644,,,,,,,,UNASSIGNED_REGION
province:2716,norway__aust_agder,2716,Aust-Agder,,,9179.95,,,,,,,,UNASSIGNED_REGION
province:2993,cuba__holgu_n_2,2993,Holguín,,,9148.204,,,,,,,,UNASSIGNED_REGION
province:905,laos__attapu,905,Attapu,,,9138.418,,,,,,,,UNASSIGNED_REGION
province:3264,yemen__al_bayda,3264,Al Bayda',,,9131.779,,,,,,,,UNASSIGNED_REGION
province:3508,ivory_coast__agn_by,3508,Agnéby,,,9112.354,,,,,,,,UNASSIGNED_REGION
province:2718,norway__rogaland,2718,Rogaland,,,9079.18,,,,,,,,UNASSIGNED_REGION
province:2148,liberia__sinoe,2148,Sinoe,,,9047.215,,,,,,,,UNASSIGNED_REGION
